name,kind,url,category,what_it_does,caveat
KoboToolbox,github,https://github.com/kobotoolbox/kpi,Field data collection,Form builder and data collection platform with a mature offline story,The hosted service is the easy path; self-hosting is real work
OpenDroneMap,github,https://github.com/OpenDroneMap/ODM,Reality capture and survey,"Turns drone imagery into maps, point clouds and 3D models",Needs good overlap and ground control; outputs still need QA against survey
COLMAP,github,https://github.com/colmap/colmap,Reality capture and survey,Structure-from-motion and multi-view stereo photogrammetry,Research-grade interface; command line heavy
Meshroom,github,https://github.com/alicevision/Meshroom,Reality capture and survey,Photogrammetry with a node-based graphical interface,"GPU hungry, and photogrammetry is not measurement-grade surveying"
CloudCompare,github,https://github.com/CloudCompare/CloudCompare,Reality capture and survey,"Inspect, compare, measure and clean point clouds and meshes",Desktop tool with no project database or audit trail
Open3D,github,https://github.com/isl-org/Open3D,Reality capture and survey,"Point cloud, mesh and registration algorithms in Python and C++","A library, not an application; you build the workflow"
PDAL,github,https://github.com/PDAL/PDAL,Reality capture and survey,Point cloud data abstraction with pipeline processing,Format and pipeline plumbing rather than end user tooling
Potree,github,https://github.com/potree/potree,Reality capture and survey,Web viewer for very large point clouds,Display and navigation only
laspy,github,https://github.com/laspy/laspy,Reality capture and survey,Read and write LAS and LAZ point cloud files in Python,File format plumbing; pair it with something that analyses
QGIS,github,https://github.com/qgis/QGIS,GIS and site,"Desktop GIS used for site mapping, earthwork volumetrics and utility records",Not CAD: plan production and sheet setup are limited
GDAL,github,https://github.com/OSGeo/gdal,GIS and site,The geospatial translation and processing library under almost everything else,Command line and API only; unglamorous and everywhere
GeoServer,github,https://github.com/geoserver/geoserver,GIS and site,Serves map layers over OGC web services to browsers and apps,Java stack with real operational overhead
pyproj,github,https://github.com/pyproj4/pyproj,GIS and site,Coordinate reference system transformations in Python,"Choosing the wrong CRS is still your problem, silently"
WhiteboxTools,github,https://github.com/jblindsay/whitebox-tools,GIS and site,"Terrain, hydrology and raster analysis for earthwork and drainage",Terrain analysis focus; not a survey adjustment tool
COMPAS,github,https://github.com/compas-dev/compas,Structural and analysis,"Computational framework for structural geometry, analysis and fabrication","Python, research-flavoured, and its own learning curve"
sectionproperties,github,https://github.com/robbievanleeuwen/section-properties,Structural and analysis,"Cross-section properties, stress and capacity calculations","Sections only, not whole-structure behaviour"
PyNite,github,https://github.com/JWock82/PyNite,Structural and analysis,3D frame finite element analysis in Python,Frame elements; it is not a design code checker
anaStruct,github,https://github.com/ritchie46/anaStruct,Structural and analysis,2D frame and truss analysis with plotting,Two dimensions only; teaching to practice grade
OpenSees,github,https://github.com/OpenSees/OpenSees,Structural and analysis,"Nonlinear structural analysis, widely used in earthquake engineering",Research-grade complexity and steeper than a frame tool
OpenSeesPy,github,https://github.com/zhuminjie/OpenSeesPy,Structural and analysis,Python interface to OpenSees for scripting analyses,The packaging and docs repository for OpenSeesPy; same complexity as OpenSees
EnergyPlus,github,https://github.com/NREL/EnergyPlus,Energy MEP and sustainability,"Whole-building energy simulation, the reference engine in the field","Input files are unforgiving; garbage in, garbage out at scale"
OpenStudio,github,https://github.com/NREL/OpenStudio,Energy MEP and sustainability,SDK and tooling around EnergyPlus for modelling workflows,"Version drift between SDK, GUIs and measures is a known pain"
Radiance,github,https://github.com/LBNL-ETA/Radiance,Energy MEP and sustainability,Daylight and lighting simulation,Decades-old interface; script it or use it through Honeybee
Ladybug,github,https://github.com/ladybug-tools/ladybug,Energy MEP and sustainability,"Climate, sun, wind and comfort analysis from weather data",Grasshopper-centric in practice
Honeybee,github,https://github.com/ladybug-tools/honeybee,Energy MEP and sustainability,Daylight and energy modelling built on Radiance and EnergyPlus,Needs Grasshopper or Python skill; not a design tool by itself
CoolProp,github,https://github.com/CoolProp/CoolProp,Energy MEP and sustainability,Thermophysical property database for HVAC and refrigeration calculation,A library; the engineering judgement stays with you
OpenFOAM,github,https://github.com/OpenFOAM/OpenFOAM-dev,Energy MEP and sustainability,"CFD for wind, smoke, ventilation and airflow studies","Specialist tooling: meshing, not modelling, is the hard part"
openLCA,link,https://www.openlca.org/,Energy MEP and sustainability,"Life cycle assessment software, open source but distributed outside GitHub","Result quality depends on the database you licence, not on the software"
Brightway,github,https://github.com/brightway-lca/brightway25,Energy MEP and sustainability,Python framework for life cycle assessment (Brightway 2.5),Version churn is real: 2.5 and 2.x are not interchangeable
eemeter,github,https://github.com/openeemeter/eemeter,Energy MEP and sustainability,Normalises meter data into energy savings figures,Aimed at utility programme evaluation rather than site work
ERPNext,github,https://github.com/frappe/erpnext,Cost accounting and ERP,"Open ERP with projects, timesheets, purchasing and accounting","Not construction-native: no AIA billing, WIP schedule or retainage without customisation"
Odoo,github,https://github.com/odoo/odoo,Cost accounting and ERP,"ERP with project, timesheet and analytic accounting",Community edition has no construction apps; licensing differs between editions
Tryton,github,https://github.com/tryton/tryton,Cost accounting and ERP,"Modular ERP with accounting, projects and timesheets",You build the construction layer yourself
Dolibarr,github,https://github.com/Dolibarr/dolibarr,Cost accounting and ERP,"ERP and CRM for small organisations, with invoicing and projects",Job costing is thin for construction
GnuCash,github,https://github.com/Gnucash/gnucash,Cost accounting and ERP,Double-entry accounting for small businesses,No job costing at construction scale; fine for a tiny outfit only
Plane,github,https://github.com/makeplane/plane,Collaboration and PM,Issue and project tracking with cycles and modules,Generic project tooling; no construction workflow built in
Vikunja,github,https://github.com/go-vikunja/vikunja,Collaboration and PM,Self-hosted task and project lists,Lightweight by design; no scheduling or costing
Nextcloud,github,https://github.com/nextcloud/server,Collaboration and PM,"Self-hosted file sharing, document collaboration and office integration","File sharing, not document control: no transmittals or revisions"
Outline,github,https://github.com/outline/outline,Collaboration and PM,Team knowledge base for procedures and standards,A wiki; discipline still decides whether it stays current
Zulip,github,https://github.com/zulip/zulip,Collaboration and PM,"Threaded team chat, which suits project discussions better than channels",Operational effort to host; adoption is the real risk
Mattermost,github,https://github.com/mattermost/mattermost,Collaboration and PM,Self-hosted team chat with file sharing and integrations,"Ops burden, and the mobile app matters on site"
ROS 2,github,https://github.com/ros2/ros2,Automation robotics and fabrication,"Robot middleware: perception, navigation and control architecture","Robotics engineering, not construction work; the field is hard"
Navigation2,github,https://github.com/ros-navigation/navigation2,Automation robotics and fabrication,Navigation and path planning stack for mobile robots,Assumes a known map and an engineered environment
LinuxCNC,github,https://github.com/LinuxCNC/linuxcnc,Automation robotics and fabrication,Machine control for CNC fabrication equipment,Shop fabrication rather than site work
grbl,github,https://github.com/gnea/grbl,Automation robotics and fabrication,Motion control firmware for CNC machines,Firmware for hobby and small machines
Universal Gcode Sender,github,https://github.com/winder/Universal-G-Code-Sender,Automation robotics and fabrication,Sends G-code to CNC controllers,Shop tooling; not a production control system
OctoPrint,github,https://github.com/OctoPrint/OctoPrint,Automation robotics and fabrication,Web control for 3D printers,Prototyping and small-scale fabrication
Ultralytics YOLO,github,https://github.com/ultralytics/ultralytics,Machine learning and datasets,Object detection and segmentation; the usual starting point for PPE and progress detection,You must train on your own site imagery; published models do not transfer for free
Detectron2,github,https://github.com/facebookresearch/detectron2,Machine learning and datasets,Detection and segmentation toolkit from Meta AI,Research maintenance cadence; expect to pin versions
Segment Anything,github,https://github.com/facebookresearch/segment-anything,Machine learning and datasets,Promptable image segmentation,Check the weights licence for commercial use before building on it
RoadDamageDetector,github,https://github.com/sekilab/RoadDamageDetector,Machine learning and datasets,Road damage image dataset and detection baselines,"One country's roads: treat it as a benchmark, not a trained model for your site"
